1,Community: Pipeline to Better Placemaking
2,ADAMM
3,AnimELLE Crossing
4,Brainbeats v4
5,Collaborative Trip Planner
6,Color Depiction of Music
7,Composition Today v2
8,Conductor Evaluation through Motion Capture
9,Growth+: Math for Africa
10,InvisiObserver: Man in the Middle Observer
11,Mangrove: Big Data Soundscape Analysis
12,Microtonal Music
13,Movie Content Warnings
14,Photovoltaic Module Analysis with ML
15,QRDocent: Virtual Museum Guide
16,RE-RASSOR MaRS Transportation
17,Reality Flow Black Team (Engine)
18,Reality Flow Gold Team (Platform/UX)
19,SEE Base/Operations
20,SEE Moon/Mars
21,SeeShells: Shellbags for Digital Forensics v3
22,Self-Playing Guitar
23,Senior Design Scheduler v2
24,Shopping Stories v2
25,Siemens - AI Perception of Analog Gauges
26,Swarm Search and Rescue
27,SynGRO: Synthetic Environments from Real-World Observation
28,Total Refrigeration Gaskets - Orders
29,Total Refrigeration Gaskets - Shipping
30,Tunnelight
